course_id,course_title,instructor_id,category,release_date,price,description
C001,Mobile App Development — Advanced (2021),T0049,Mobile,2021-06-17,39.99,"Practical course on mobile app development, suitable for advanced learners."
C002,Financial Accounting — Advanced (2021),T0043,Financial,2022-09-27,59.99,"Practical course on financial accounting, suitable for advanced learners."
C003,Microeconomics — Intermediate (2024),T0097,Microeconomics,2022-05-03,0.0,"Practical course on microeconomics, suitable for intermediate learners."
C004,Deep Learning — Intermediate (2025),T0066,Deep,2024-03-18,19.99,"Practical course on deep learning, suitable for intermediate learners."
C005,Calculus I — Intermediate (2023),T0060,Calculus,2024-02-12,59.99,"Practical course on calculus i, suitable for intermediate learners."
C006,Deep Learning — Beginner (2025),T0100,Deep,2023-04-16,39.99,"Practical course on deep learning, suitable for beginner learners."
C007,Project Management — Advanced (2021),T0018,Project,2024-12-11,59.99,"Practical course on project management, suitable for advanced learners."
C008,Project Management — Advanced (2025),T0019,Project,2025-08-07,29.99,"Practical course on project management, suitable for advanced learners."
C009,Thermodynamics — Intermediate (2022),T0100,Thermodynamics,2025-05-12,0.0,"Practical course on thermodynamics, suitable for intermediate learners."
C010,Mobile App Development — Intermediate (2023),T0066,Mobile,2024-03-27,0.0,"Practical course on mobile app development, suitable for intermediate learners."
C011,Photography — Beginner (2022),T0097,Photography,2021-03-15,9.99,"Practical course on photography, suitable for beginner learners."
C012,Human-Computer Interaction — Advanced (2022),T0054,Human-Computer,2021-10-21,9.99,"Practical course on human-computer interaction, suitable for advanced learners."
C013,Human-Computer Interaction — Beginner (2021),T0054,Human-Computer,2023-08-07,99.99,"Practical course on human-computer interaction, suitable for beginner learners."
C014,Graphic Design — Intermediate (2023),T0031,Graphic,2025-01-28,0.0,"Practical course on graphic design, suitable for intermediate learners."
C015,Mobile App Development — Advanced (2022),T0063,Mobile,2021-07-24,59.99,"Practical course on mobile app development, suitable for advanced learners."
C016,Thermodynamics — Intermediate (2022),T0061,Thermodynamics,2021-05-21,19.99,"Practical course on thermodynamics, suitable for intermediate learners."
C017,Digital Marketing — Intermediate (2023),T0100,Digital,2022-10-02,39.99,"Practical course on digital marketing, suitable for intermediate learners."
C018,Digital Marketing — Intermediate (2024),T0059,Digital,2021-10-26,39.99,"Practical course on digital marketing, suitable for intermediate learners."
C019,Machine Learning — Beginner (2024),T0020,Machine,2025-10-09,59.99,"Practical course on machine learning, suitable for beginner learners."
C020,Web Development — Intermediate (2022),T0025,Web,2022-02-05,39.99,"Practical course on web development, suitable for intermediate learners."
C021,World History — Advanced (2025),T0093,World,2021-06-25,99.99,"Practical course on world history, suitable for advanced learners."
C022,Microeconomics — Advanced (2021),T0027,Microeconomics,2023-07-30,19.99,"Practical course on microeconomics, suitable for advanced learners."
C023,Algorithms — Advanced (2021),T0009,Algorithms,2022-04-04,0.0,"Practical course on algorithms, suitable for advanced learners."
C024,Deep Learning — Advanced (2023),T0071,Deep,2021-01-16,59.99,"Practical course on deep learning, suitable for advanced learners."
C025,Macroeconomics — Advanced (2022),T0083,Macroeconomics,2023-02-09,0.0,"Practical course on macroeconomics, suitable for advanced learners."
C026,Macroeconomics — Beginner (2024),T0024,Macroeconomics,2023-06-29,39.99,"Practical course on macroeconomics, suitable for beginner learners."
C027,Digital Marketing — Intermediate (2022),T0023,Digital,2023-06-16,59.99,"Practical course on digital marketing, suitable for intermediate learners."
C028,Project Management — Advanced (2023),T0048,Project,2021-12-20,9.99,"Practical course on project management, suitable for advanced learners."
C029,French Basics — Intermediate (2023),T0061,French,2022-06-27,9.99,"Practical course on french basics, suitable for intermediate learners."
C030,English Literature — Beginner (2024),T0034,English,2023-08-06,19.99,"Practical course on english literature, suitable for beginner learners."
C031,Statistics — Advanced (2025),T0011,Statistics,2025-07-22,39.99,"Practical course on statistics, suitable for advanced learners."
C032,Game Design — Advanced (2021),T0051,Game,2023-06-30,39.99,"Practical course on game design, suitable for advanced learners."
C033,Cloud Computing — Advanced (2021),T0040,Cloud,2023-12-11,39.99,"Practical course on cloud computing, suitable for advanced learners."
C034,Cybersecurity Basics — Advanced (2025),T0017,Cybersecurity,2022-06-07,39.99,"Practical course on cybersecurity basics, suitable for advanced learners."
C035,Digital Marketing — Beginner (2022),T0100,Digital,2025-01-31,29.99,"Practical course on digital marketing, suitable for beginner learners."
C036,Algorithms — Beginner (2021),T0095,Algorithms,2024-09-11,99.99,"Practical course on algorithms, suitable for beginner learners."
C037,Digital Marketing — Intermediate (2022),T0011,Digital,2024-07-26,0.0,"Practical course on digital marketing, suitable for intermediate learners."
C038,French Basics — Beginner (2023),T0094,French,2020-11-19,0.0,"Practical course on french basics, suitable for beginner learners."
C039,NLP Fundamentals — Beginner (2021),T0077,NLP,2024-06-04,0.0,"Practical course on nlp fundamentals, suitable for beginner learners."
C040,Calculus I — Beginner (2024),T0061,Calculus,2021-08-24,0.0,"Practical course on calculus i, suitable for beginner learners."
C041,Entrepreneurship — Advanced (2023),T0028,Entrepreneurship,2021-05-18,39.99,"Practical course on entrepreneurship, suitable for advanced learners."
C042,Digital Marketing — Intermediate (2023),T0087,Digital,2021-03-04,29.99,"Practical course on digital marketing, suitable for intermediate learners."
C043,French Basics — Beginner (2023),T0067,French,2024-10-23,39.99,"Practical course on french basics, suitable for beginner learners."
C044,Machine Learning — Intermediate (2025),T0036,Machine,2024-02-14,0.0,"Practical course on machine learning, suitable for intermediate learners."
C045,Web Development — Beginner (2024),T0050,Web,2024-02-05,0.0,"Practical course on web development, suitable for beginner learners."
C046,Human-Computer Interaction — Intermediate (2022),T0015,Human-Computer,2025-02-14,9.99,"Practical course on human-computer interaction, suitable for intermediate learners."
C047,Thermodynamics — Beginner (2023),T0017,Thermodynamics,2021-11-23,19.99,"Practical course on thermodynamics, suitable for beginner learners."
C048,Cloud Computing — Advanced (2023),T0015,Cloud,2021-04-07,99.99,"Practical course on cloud computing, suitable for advanced learners."
C049,Web Development — Advanced (2022),T0018,Web,2024-01-31,59.99,"Practical course on web development, suitable for advanced learners."
C050,Artificial Intelligence — Intermediate (2023),T0027,Artificial,2024-10-27,9.99,"Practical course on artificial intelligence, suitable for intermediate learners."
C051,Marketing 101 — Advanced (2022),T0099,Marketing,2025-07-22,59.99,"Practical course on marketing 101, suitable for advanced learners."
C052,Databases — Intermediate (2022),T0048,Databases,2021-02-23,39.99,"Practical course on databases, suitable for intermediate learners."
C053,Calculus II — Advanced (2021),T0019,Calculus,2025-03-29,39.99,"Practical course on calculus ii, suitable for advanced learners."
C054,Game Design — Advanced (2022),T0054,Game,2025-04-24,0.0,"Practical course on game design, suitable for advanced learners."
C055,Financial Accounting — Beginner (2024),T0043,Financial,2022-11-30,29.99,"Practical course on financial accounting, suitable for beginner learners."
C056,Photography — Beginner (2023),T0063,Photography,2022-08-23,39.99,"Practical course on photography, suitable for beginner learners."
C057,Cell Biology — Intermediate (2022),T0029,Cell,2023-11-16,99.99,"Practical course on cell biology, suitable for intermediate learners."
C058,Calculus I — Advanced (2025),T0003,Calculus,2023-09-28,19.99,"Practical course on calculus i, suitable for advanced learners."
C059,Data Structures — Beginner (2021),T0066,Data,2020-12-28,99.99,"Practical course on data structures, suitable for beginner learners."
C060,Cloud Computing — Intermediate (2025),T0073,Cloud,2022-10-27,9.99,"Practical course on cloud computing, suitable for intermediate learners."
C061,Digital Marketing — Intermediate (2023),T0045,Digital,2023-12-01,29.99,"Practical course on digital marketing, suitable for intermediate learners."
C062,Data Structures — Advanced (2024),T0087,Data,2021-07-14,9.99,"Practical course on data structures, suitable for advanced learners."
C063,Entrepreneurship — Intermediate (2023),T0074,Entrepreneurship,2024-04-25,99.99,"Practical course on entrepreneurship, suitable for intermediate learners."
C064,Algorithms — Intermediate (2024),T0005,Algorithms,2021-07-28,99.99,"Practical course on algorithms, suitable for intermediate learners."
C065,Microeconomics — Intermediate (2021),T0034,Microeconomics,2022-09-17,39.99,"Practical course on microeconomics, suitable for intermediate learners."
C066,Entrepreneurship — Beginner (2025),T0014,Entrepreneurship,2021-06-26,39.99,"Practical course on entrepreneurship, suitable for beginner learners."
C067,Cloud Computing — Intermediate (2022),T0071,Cloud,2024-09-16,0.0,"Practical course on cloud computing, suitable for intermediate learners."
C068,Calculus II — Advanced (2024),T0087,Calculus,2025-10-07,99.99,"Practical course on calculus ii, suitable for advanced learners."
C069,Web Development — Advanced (2025),T0045,Web,2021-04-17,99.99,"Practical course on web development, suitable for advanced learners."
C070,Statistics — Advanced (2024),T0087,Statistics,2025-06-26,59.99,"Practical course on statistics, suitable for advanced learners."
C071,Thermodynamics — Advanced (2023),T0089,Thermodynamics,2022-10-29,39.99,"Practical course on thermodynamics, suitable for advanced learners."
C072,Game Design — Advanced (2022),T0027,Game,2024-11-28,29.99,"Practical course on game design, suitable for advanced learners."
C073,Cell Biology — Intermediate (2024),T0011,Cell,2023-01-28,39.99,"Practical course on cell biology, suitable for intermediate learners."
C074,Databases — Advanced (2021),T0037,Databases,2022-01-23,99.99,"Practical course on databases, suitable for advanced learners."
C075,Data Structures — Advanced (2025),T0037,Data,2024-08-23,99.99,"Practical course on data structures, suitable for advanced learners."
C076,Data Structures — Beginner (2021),T0053,Data,2024-08-06,59.99,"Practical course on data structures, suitable for beginner learners."
C077,Network Fundamentals — Intermediate (2021),T0039,Network,2023-05-25,39.99,"Practical course on network fundamentals, suitable for intermediate learners."
C078,Game Design — Advanced (2022),T0057,Game,2024-11-01,0.0,"Practical course on game design, suitable for advanced learners."
C079,Microeconomics — Intermediate (2023),T0083,Microeconomics,2025-04-12,29.99,"Practical course on microeconomics, suitable for intermediate learners."
C080,English Literature — Advanced (2022),T0050,English,2020-11-29,19.99,"Practical course on english literature, suitable for advanced learners."
C081,Business Management — Beginner (2023),T0017,Business,2022-02-14,9.99,"Practical course on business management, suitable for beginner learners."
C082,Microeconomics — Beginner (2022),T0043,Microeconomics,2021-03-03,9.99,"Practical course on microeconomics, suitable for beginner learners."
C083,Artificial Intelligence — Beginner (2025),T0066,Artificial,2021-08-18,99.99,"Practical course on artificial intelligence, suitable for beginner learners."
C084,Calculus II — Beginner (2023),T0077,Calculus,2022-05-30,99.99,"Practical course on calculus ii, suitable for beginner learners."
C085,English Literature — Advanced (2024),T0081,English,2024-03-21,99.99,"Practical course on english literature, suitable for advanced learners."
C086,Cell Biology — Beginner (2023),T0017,Cell,2021-06-14,39.99,"Practical course on cell biology, suitable for beginner learners."
C087,Thermodynamics — Advanced (2024),T0077,Thermodynamics,2023-06-02,19.99,"Practical course on thermodynamics, suitable for advanced learners."
C088,Cybersecurity Basics — Intermediate (2021),T0059,Cybersecurity,2021-11-02,99.99,"Practical course on cybersecurity basics, suitable for intermediate learners."
C089,Photography — Beginner (2024),T0037,Photography,2024-11-30,39.99,"Practical course on photography, suitable for beginner learners."
C090,Financial Accounting — Advanced (2024),T0001,Financial,2022-11-08,0.0,"Practical course on financial accounting, suitable for advanced learners."
C091,Python Programming — Advanced (2022),T0083,Python,2021-10-19,9.99,"Practical course on python programming, suitable for advanced learners."
C092,Game Design — Advanced (2021),T0100,Game,2024-05-29,59.99,"Practical course on game design, suitable for advanced learners."
C093,Data Structures — Advanced (2025),T0057,Data,2023-06-09,39.99,"Practical course on data structures, suitable for advanced learners."
C094,Databases — Intermediate (2025),T0084,Databases,2020-12-08,39.99,"Practical course on databases, suitable for intermediate learners."
C095,Thermodynamics — Advanced (2022),T0038,Thermodynamics,2024-12-18,9.99,"Practical course on thermodynamics, suitable for advanced learners."
C096,Classical Mechanics — Intermediate (2022),T0092,Classical,2020-11-09,99.99,"Practical course on classical mechanics, suitable for intermediate learners."
C097,Data Structures — Beginner (2024),T0030,Data,2023-06-15,19.99,"Practical course on data structures, suitable for beginner learners."
C098,Cybersecurity Basics — Intermediate (2021),T0077,Cybersecurity,2021-11-08,59.99,"Practical course on cybersecurity basics, suitable for intermediate learners."
C099,Marketing 101 — Advanced (2021),T0019,Marketing,2023-10-27,19.99,"Practical course on marketing 101, suitable for advanced learners."
C100,Calculus I — Beginner (2021),T0075,Calculus,2022-10-30,0.0,"Practical course on calculus i, suitable for beginner learners."
C101,Cell Biology — Advanced (2025),T0077,Cell,2023-11-25,99.99,"Practical course on cell biology, suitable for advanced learners."
C102,Graphic Design — Advanced (2023),T0089,Graphic,2022-01-26,9.99,"Practical course on graphic design, suitable for advanced learners."
C103,French Basics — Intermediate (2022),T0091,French,2023-05-12,29.99,"Practical course on french basics, suitable for intermediate learners."
C104,Business Management — Beginner (2022),T0029,Business,2021-11-29,0.0,"Practical course on business management, suitable for beginner learners."
C105,Financial Accounting — Advanced (2023),T0042,Financial,2024-03-25,9.99,"Practical course on financial accounting, suitable for advanced learners."
C106,NLP Fundamentals — Advanced (2024),T0043,NLP,2023-11-25,59.99,"Practical course on nlp fundamentals, suitable for advanced learners."
C107,Human-Computer Interaction — Beginner (2023),T0001,Human-Computer,2025-07-21,0.0,"Practical course on human-computer interaction, suitable for beginner learners."
C108,Calculus II — Beginner (2022),T0072,Calculus,2025-10-09,0.0,"Practical course on calculus ii, suitable for beginner learners."
C109,English Literature — Beginner (2024),T0048,English,2021-12-11,59.99,"Practical course on english literature, suitable for beginner learners."
C110,Algorithms — Intermediate (2024),T0045,Algorithms,2023-02-26,19.99,"Practical course on algorithms, suitable for intermediate learners."
C111,Microeconomics — Beginner (2021),T0012,Microeconomics,2022-05-02,59.99,"Practical course on microeconomics, suitable for beginner learners."
C112,Algorithms — Advanced (2021),T0091,Algorithms,2022-06-29,39.99,"Practical course on algorithms, suitable for advanced learners."
C113,Project Management — Intermediate (2025),T0099,Project,2024-01-23,0.0,"Practical course on project management, suitable for intermediate learners."
C114,Financial Accounting — Beginner (2022),T0063,Financial,2023-08-07,19.99,"Practical course on financial accounting, suitable for beginner learners."
C115,French Basics — Beginner (2023),T0007,French,2020-12-28,9.99,"Practical course on french basics, suitable for beginner learners."
C116,Marketing 101 — Beginner (2023),T0003,Marketing,2024-02-26,9.99,"Practical course on marketing 101, suitable for beginner learners."
C117,Algorithms — Advanced (2023),T0084,Algorithms,2021-08-27,19.99,"Practical course on algorithms, suitable for advanced learners."
C118,Cell Biology — Intermediate (2023),T0059,Cell,2024-12-28,0.0,"Practical course on cell biology, suitable for intermediate learners."
C119,Digital Marketing — Advanced (2024),T0090,Digital,2023-01-06,9.99,"Practical course on digital marketing, suitable for advanced learners."
C120,Calculus I — Beginner (2023),T0097,Calculus,2023-12-11,19.99,"Practical course on calculus i, suitable for beginner learners."
C121,Spanish Basics — Beginner (2024),T0094,Spanish,2023-05-18,9.99,"Practical course on spanish basics, suitable for beginner learners."
C122,Financial Accounting — Intermediate (2025),T0005,Financial,2025-02-21,0.0,"Practical course on financial accounting, suitable for intermediate learners."
C123,Web Development — Advanced (2021),T0027,Web,2024-11-05,39.99,"Practical course on web development, suitable for advanced learners."
C124,NLP Fundamentals — Beginner (2021),T0099,NLP,2024-08-16,9.99,"Practical course on nlp fundamentals, suitable for beginner learners."
C125,Cell Biology — Advanced (2024),T0064,Cell,2022-09-30,99.99,"Practical course on cell biology, suitable for advanced learners."
C126,Microeconomics — Beginner (2021),T0096,Microeconomics,2024-10-30,99.99,"Practical course on microeconomics, suitable for beginner learners."
C127,Cloud Computing — Beginner (2023),T0044,Cloud,2023-01-23,99.99,"Practical course on cloud computing, suitable for beginner learners."
C128,Cloud Computing — Beginner (2024),T0080,Cloud,2021-04-14,99.99,"Practical course on cloud computing, suitable for beginner learners."
C129,Human-Computer Interaction — Beginner (2023),T0033,Human-Computer,2020-11-06,19.99,"Practical course on human-computer interaction, suitable for beginner learners."
C130,NLP Fundamentals — Advanced (2024),T0018,NLP,2020-12-14,59.99,"Practical course on nlp fundamentals, suitable for advanced learners."
C131,Calculus II — Intermediate (2025),T0012,Calculus,2024-09-26,99.99,"Practical course on calculus ii, suitable for intermediate learners."
C132,Deep Learning — Advanced (2022),T0077,Deep,2021-12-29,39.99,"Practical course on deep learning, suitable for advanced learners."
C133,Photography — Intermediate (2022),T0098,Photography,2023-06-07,9.99,"Practical course on photography, suitable for intermediate learners."
C134,Macroeconomics — Intermediate (2022),T0098,Macroeconomics,2022-06-12,39.99,"Practical course on macroeconomics, suitable for intermediate learners."
C135,Financial Accounting — Beginner (2023),T0084,Financial,2023-09-28,39.99,"Practical course on financial accounting, suitable for beginner learners."
C136,Python Programming — Beginner (2021),T0097,Python,2024-02-24,39.99,"Practical course on python programming, suitable for beginner learners."
C137,NLP Fundamentals — Intermediate (2025),T0008,NLP,2023-12-19,0.0,"Practical course on nlp fundamentals, suitable for intermediate learners."
C138,Macroeconomics — Beginner (2024),T0094,Macroeconomics,2021-03-12,19.99,"Practical course on macroeconomics, suitable for beginner learners."
C139,Entrepreneurship — Advanced (2025),T0040,Entrepreneurship,2025-08-07,19.99,"Practical course on entrepreneurship, suitable for advanced learners."
C140,Data Structures — Advanced (2024),T0023,Data,2023-01-04,59.99,"Practical course on data structures, suitable for advanced learners."
C141,Calculus II — Advanced (2022),T0001,Calculus,2023-05-14,29.99,"Practical course on calculus ii, suitable for advanced learners."
C142,Game Design — Advanced (2024),T0064,Game,2020-12-31,99.99,"Practical course on game design, suitable for advanced learners."
C143,Marketing 101 — Intermediate (2024),T0071,Marketing,2025-09-04,39.99,"Practical course on marketing 101, suitable for intermediate learners."
C144,French Basics — Intermediate (2024),T0048,French,2023-02-23,99.99,"Practical course on french basics, suitable for intermediate learners."
C145,Statistics — Beginner (2021),T0053,Statistics,2021-09-26,99.99,"Practical course on statistics, suitable for beginner learners."
C146,Macroeconomics — Intermediate (2023),T0097,Macroeconomics,2024-04-08,29.99,"Practical course on macroeconomics, suitable for intermediate learners."
C147,Deep Learning — Beginner (2022),T0066,Deep,2024-01-25,19.99,"Practical course on deep learning, suitable for beginner learners."
C148,Network Fundamentals — Beginner (2023),T0079,Network,2022-02-13,9.99,"Practical course on network fundamentals, suitable for beginner learners."
C149,Spanish Basics — Intermediate (2022),T0022,Spanish,2023-06-26,19.99,"Practical course on spanish basics, suitable for intermediate learners."
C150,Spanish Basics — Intermediate (2025),T0044,Spanish,2021-12-04,0.0,"Practical course on spanish basics, suitable for intermediate learners."
C151,Python Programming — Advanced (2024),T0052,Python,2022-04-04,19.99,"Practical course on python programming, suitable for advanced learners."
C152,Calculus I — Beginner (2023),T0090,Calculus,2022-12-26,0.0,"Practical course on calculus i, suitable for beginner learners."
C153,Classical Mechanics — Beginner (2024),T0034,Classical,2021-12-13,9.99,"Practical course on classical mechanics, suitable for beginner learners."
C154,Cybersecurity Basics — Advanced (2023),T0003,Cybersecurity,2023-10-22,9.99,"Practical course on cybersecurity basics, suitable for advanced learners."
C155,Databases — Advanced (2023),T0036,Databases,2021-09-09,59.99,"Practical course on databases, suitable for advanced learners."
C156,Project Management — Intermediate (2021),T0071,Project,2023-05-06,19.99,"Practical course on project management, suitable for intermediate learners."
C157,Calculus II — Advanced (2022),T0039,Calculus,2023-07-06,39.99,"Practical course on calculus ii, suitable for advanced learners."
C158,Algorithms — Advanced (2022),T0031,Algorithms,2024-06-21,9.99,"Practical course on algorithms, suitable for advanced learners."
C159,Cloud Computing — Intermediate (2022),T0077,Cloud,2023-04-04,39.99,"Practical course on cloud computing, suitable for intermediate learners."
C160,Cell Biology — Advanced (2023),T0071,Cell,2022-01-19,99.99,"Practical course on cell biology, suitable for advanced learners."
C161,Human-Computer Interaction — Beginner (2023),T0032,Human-Computer,2024-07-24,29.99,"Practical course on human-computer interaction, suitable for beginner learners."
C162,Business Management — Advanced (2022),T0018,Business,2024-11-03,0.0,"Practical course on business management, suitable for advanced learners."
C163,Organic Chemistry — Beginner (2024),T0099,Organic,2021-07-26,59.99,"Practical course on organic chemistry, suitable for beginner learners."
C164,Business Management — Advanced (2025),T0052,Business,2024-10-08,19.99,"Practical course on business management, suitable for advanced learners."
C165,Algorithms — Intermediate (2024),T0008,Algorithms,2022-07-02,29.99,"Practical course on algorithms, suitable for intermediate learners."
C166,Macroeconomics — Advanced (2021),T0001,Macroeconomics,2022-04-09,0.0,"Practical course on macroeconomics, suitable for advanced learners."
C167,Organic Chemistry — Beginner (2024),T0097,Organic,2020-12-02,19.99,"Practical course on organic chemistry, suitable for beginner learners."
C168,Data Structures — Beginner (2021),T0041,Data,2025-01-15,0.0,"Practical course on data structures, suitable for beginner learners."
C169,Classical Mechanics — Intermediate (2021),T0025,Classical,2025-07-29,59.99,"Practical course on classical mechanics, suitable for intermediate learners."
C170,Calculus I — Intermediate (2021),T0030,Calculus,2021-06-19,0.0,"Practical course on calculus i, suitable for intermediate learners."
C171,Network Fundamentals — Advanced (2025),T0037,Network,2024-03-15,59.99,"Practical course on network fundamentals, suitable for advanced learners."
C172,Artificial Intelligence — Advanced (2022),T0098,Artificial,2024-11-10,99.99,"Practical course on artificial intelligence, suitable for advanced learners."
C173,Machine Learning — Advanced (2022),T0057,Machine,2025-03-05,9.99,"Practical course on machine learning, suitable for advanced learners."
C174,Thermodynamics — Advanced (2022),T0084,Thermodynamics,2022-09-07,59.99,"Practical course on thermodynamics, suitable for advanced learners."
C175,Cloud Computing — Advanced (2025),T0059,Cloud,2023-11-06,59.99,"Practical course on cloud computing, suitable for advanced learners."
C176,Financial Accounting — Beginner (2025),T0030,Financial,2021-06-12,19.99,"Practical course on financial accounting, suitable for beginner learners."
C177,Deep Learning — Advanced (2025),T0100,Deep,2024-03-01,9.99,"Practical course on deep learning, suitable for advanced learners."
C178,Entrepreneurship — Advanced (2024),T0088,Entrepreneurship,2024-08-12,39.99,"Practical course on entrepreneurship, suitable for advanced learners."
C179,French Basics — Intermediate (2022),T0067,French,2023-02-20,29.99,"Practical course on french basics, suitable for intermediate learners."
C180,Business Management — Advanced (2021),T0085,Business,2022-02-17,19.99,"Practical course on business management, suitable for advanced learners."
C181,Algorithms — Advanced (2025),T0030,Algorithms,2020-12-06,29.99,"Practical course on algorithms, suitable for advanced learners."
C182,Organic Chemistry — Advanced (2021),T0065,Organic,2024-09-12,0.0,"Practical course on organic chemistry, suitable for advanced learners."
C183,Databases — Beginner (2022),T0096,Databases,2023-07-16,9.99,"Practical course on databases, suitable for beginner learners."
C184,English Literature — Advanced (2021),T0039,English,2022-11-23,29.99,"Practical course on english literature, suitable for advanced learners."
C185,Statistics — Intermediate (2025),T0014,Statistics,2024-05-05,9.99,"Practical course on statistics, suitable for intermediate learners."
C186,French Basics — Beginner (2024),T0049,French,2025-10-20,99.99,"Practical course on french basics, suitable for beginner learners."
C187,World History — Intermediate (2023),T0014,World,2024-03-16,0.0,"Practical course on world history, suitable for intermediate learners."
C188,Microeconomics — Intermediate (2025),T0012,Microeconomics,2023-07-15,19.99,"Practical course on microeconomics, suitable for intermediate learners."
C189,Cloud Computing — Advanced (2021),T0021,Cloud,2022-11-28,9.99,"Practical course on cloud computing, suitable for advanced learners."
C190,Cell Biology — Intermediate (2022),T0038,Cell,2024-04-14,0.0,"Practical course on cell biology, suitable for intermediate learners."
C191,Marketing 101 — Intermediate (2022),T0048,Marketing,2023-12-16,9.99,"Practical course on marketing 101, suitable for intermediate learners."
C192,Spanish Basics — Advanced (2022),T0079,Spanish,2021-11-04,0.0,"Practical course on spanish basics, suitable for advanced learners."
C193,Cloud Computing — Advanced (2022),T0075,Cloud,2020-12-21,59.99,"Practical course on cloud computing, suitable for advanced learners."
C194,Network Fundamentals — Advanced (2022),T0040,Network,2024-11-29,59.99,"Practical course on network fundamentals, suitable for advanced learners."
C195,Human-Computer Interaction — Advanced (2025),T0046,Human-Computer,2024-04-29,0.0,"Practical course on human-computer interaction, suitable for advanced learners."
C196,Digital Marketing — Beginner (2022),T0084,Digital,2021-05-12,59.99,"Practical course on digital marketing, suitable for beginner learners."
C197,NLP Fundamentals — Advanced (2021),T0004,NLP,2021-10-20,29.99,"Practical course on nlp fundamentals, suitable for advanced learners."
C198,Thermodynamics — Beginner (2021),T0002,Thermodynamics,2022-01-25,29.99,"Practical course on thermodynamics, suitable for beginner learners."
C199,Calculus I — Beginner (2025),T0049,Calculus,2024-07-30,59.99,"Practical course on calculus i, suitable for beginner learners."
C200,Thermodynamics — Advanced (2021),T0073,Thermodynamics,2023-03-19,0.0,"Practical course on thermodynamics, suitable for advanced learners."
